sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
3.8,5,0.175063,54.919,1,1,18.4393,18.4393,15.9446,1
3.8,6,0.778978,47.3565,1,1,17.9955,17.9955,15.5629,1
3.8,7,0.9,54.919,1,1,18.4393,18.4393,15.9446,1
3.9,0,0.19195,55.5972,1,1,18.1451,18.1451,15.6914,1
3.9,1,0.14195,55.5972,1,1,18.1451,18.1451,15.6914,1
3.9,2,0.468796,47.8802,1,1,13.6907,13.6907,11.9502,1
3.9,3,0.49195,55.5972,1,1,18.1451,18.1451,15.6914,1
3.9,4,0.268796,47.8802,1,1,13.6907,13.6907,11.9502,1
3.9,5,0.17195,55.5972,1,1,18.1451,18.1451,15.6914,1
3.9,6,0.778346,47.8802,1,1,13.6907,13.6907,11.9502,1
3.9,7,0.9,55.5972,1,1,18.1451,18.1451,15.6914,1
4,0,0.188781,56.2852,1,1,18.4721,18.4721,15.9728,1
4,1,0.138781,56.2852,1,1,18.4721,18.4721,15.9728,1
4,2,0.466039,48.5408,1,1,16.0313,16.0313,13.8935,1
4,3,0.488781,56.2852,1,1,18.4721,18.4721,15.9728,1
4,4,0.266039,48.5408,1,1,16.0313,16.0313,13.8935,1
4,5,0.168781,56.2852,1,1,18.4721,18.4721,15.9728,1
4,6,0.77761,48.5408,1,1,16.0313,16.0313,13.8935,1
4,7,0.9,56.2852,1,1,18.4721,18.4721,15.9728,1
4.1,0,0.185678,56.9366,1,1,18.0831,18.0831,15.6381,1
4.1,1,0.135678,56.9366,1,1,18.0831,18.0831,15.6381,1
4.1,2,0.463561,49.0852,1,1,14.3474,14.3474,12.49,1
4.1,3,0.485678,56.9366,1,1,18.0831,18.0831,15.6381,1
4.1,4,0.263561,49.0852,1,1,14.3474,14.3474,12.49,1
4.1,5,0.165678,56.9366,1,1,18.0831,18.0831,15.6381,1
4.1,6,0.77695,49.0852,1,1,14.3474,14.3474,12.49,1
4.1,7,0.9,56.9366,1,1,18.0831,18.0831,15.6381,1
4.2,0,0.18274,57.5148,1,1,17.1099,17.1099,14.806,1
4.2,1,0.13274,57.5148,1,1,17.1099,17.1099,14.806,1
4.2,2,0.46007,50.0036,1,1,20.3399,20.3399,17.5971,1
4.2,3,0.48274,57.5148,1,1,17.1099,17.1099,14.806,1
4.2,4,0.26007,50.0036,1,1,20.3399,20.3399,17.5971,1
4.2,5,0.16274,57.5148,1,1,17.1099,17.1099,14.806,1
4.2,6,0.776019,50.0036,1,1,20.3399,20.3399,17.5971,1
4.2,7,0.9,57.5148,1,1,17.1099,17.1099,14.806,1
4.3,0,0.17954,58.1827,1,1,18.655,18.655,16.1307,1
4.3,1,0.12954,58.1827,1,1,18.655,18.655,16.1307,1
4.3,2,0.456897,50.7861,1,1,18.4908,18.4908,15.989,1
4.3,3,0.47954,58.1827,1,1,18.655,18.655,16.1307,1
4.3,4,0.256897,50.7861,1,1,18.4908,18.4908,15.989,1
4.3,5,0.15954,58.1827,1,1,18.655,18.655,16.1307,1
4.3,6,0.775173,50.7861,1,1,18.4908,18.4908,15.989,1
4.3,7,0.9,58.1827,1,1,18.655,18.655,16.1307,1
4.4,0,0.176497,58.7799,1,1,17.7322,17.7322,15.3372,1
4.4,1,0.126497,58.7799,1,1,17.7322,17.7322,15.3372,1
